GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
migration-playground,com.migrationplayground.parser,SqlParser,4,349,11,31,1,73,11,16,0,6
migration-playground,com.migrationplayground.model,Column,15,25,0,0,4,9,4,5,4,5
migration-playground,com.migrationplayground.model,Table,8,26,0,0,2,7,2,5,2,5
migration-playground,com.migrationplayground.model,Column.Builder,0,28,0,0,0,5,0,5,0,5
migration-playground,com.migrationplayground.model,MigrationRun,58,0,4,0,18,0,16,0,14,0
migration-playground,com.migrationplayground.model,ParsedSchema,4,11,0,0,2,3,1,2,1,2
migration-playground,com.migrationplayground.model,Constraint,11,18,0,0,3,5,3,4,3,4
migration-playground,com.migrationplayground,MigrationPlaygroundApplication,8,0,0,0,3,0,2,0,2,0
migration-playground,com.migrationplayground.exception,GlobalExceptionHandler,66,0,0,0,16,0,6,0,6,0
migration-playground,com.migrationplayground.exception,ApiErrorResponse.Builder,42,0,0,0,7,0,7,0,7,0
migration-playground,com.migrationplayground.exception,ApiErrorResponse,57,0,0,0,18,0,12,0,12,0
migration-playground,com.migrationplayground.controller,MigrationController,18,0,0,0,5,0,2,0,2,0
migration-playground,com.migrationplayground.service,SchemaService,121,0,12,0,30,0,10,0,4,0
